CODIGO,NIVEL_DE_DESAGREGACION,PONDERACION
105101,ENSEÑANZA NO ATRIBUIBLE A NINGÚN NIVEL,0.337
110000,RESTAURANTES Y HOTELES,15.885
111000,SERVICIOS DE SUMINISTRO DE COMIDAS Y BEBIDAS POR CONTRATO,15.451
111100,RESTAURANTES CAFÉS Y ESTABLECIMIENTOS SIMILARES,15.398
111101,SERVICIO DE COMIDA EN RESTAURANTES Y LOCALES SIMILARES,12.833
111102,SERVICIO DE BEBIDAS EN RESTAURANTES Y LOCALES SIMILARES,2.565
111200,COMEDORES,0.053
111201,COMEDORES EN INSTITUCIONES PUBLICAS Y PRIVADAS,0.053
112000,SERVICIOS DE ALOJAMIENTO,0.434
112100,SERVICIOS DE ALOJAMIENTO,0.434
112101,SERVICIOS DE ALOJAMIENTO EN HOTELES HOSTALES ALBERGES Y ALOJAMIENTOS DIVERSOS,0.434
120000,BIENES Y SERVICIOS DIVERSOS,6.469
121000,CUIDADO PERSONAL,4.791
121100,SALONES DE PELUQUERÍA Y ESTABLECIMIENTOS DE CUIDADOS PERSONALES,0.803
121101,SERVICIOS EN SALONES DE PELUQUERÍA,0.803
121300,OTROS APARATOS ARTÍCULOS Y PRODUCTOS PARA LA ATENCIÓN PERSONAL,3.988
121302,APARATOS NO ELÉCTRICOS ARTÍCULOS Y PRODUCTOS PARA EL CUIDADO PERSONAL,3.988
123000,EFECTOS PERSONALES N.E.P.,0.243
123100,JOYERÍA RELOJES DE PARED Y RELOJES DE PULSERA,0.084
123101,JOYERÍA RELOJES DE PARED Y RELOJES DE PULSERA,0.084
123200,OTROS EFECTOS PERSONALES,0.159
123201,ARTÍCULOS DE VIAJE Y OTROS ARTÍCULOS PARA EL TRANSPORTE DE EFECTOS PERSONALES,0.088
123202,ARTÍCULOS PARA BEBES,0.015
123204,EFECTOS PERSONALES VARIOS,0.022
123205,GASTOS EN ARTÍCULOS FUNERARIOS,0.033
124000,PROTECCIÓN SOCIAL,0.049
124100,PROTECCIÓN SOCIAL,0.049
124101,CUIDADO Y REHABILITACIÓN DE PERSONAS,0.049
125000,SEGUROS,0.309
125300,SEGURO RELACIONADO CON LA SALUD,0.161
125301,SEGURO RELACIONADO CON LA SALUD,0.161
125400,SEGURO RELACIONADO CON EL TRANSPORTE,0.103
125401,SEGURO RELACIONADO CON EL TRANSPORTE,0.103
125500,OTROS SEGUROS,0.045
125501,OTROS SEGUROS,0.045
126000,SERVICIOS FINANCIEROS N.E.P.,0.187
126200,OTROS SERVICIOS FINANCIEROS N.E.P.,0.187
126201,GASTOS FINANCIEROS,0.187
127000,OTROS SERVICIOS N.E.P.,0.890
127100,SERVICIOS DE ASESORAMIENTO JURÍDICO Y OTROS GASTOS,0.890
127101,SERVICIOS DE ASESORAMIENTO Y OTROS,0.714
127102,OTROS GASTOS Y SERVICIOS DIVERSOS,0.176
